mid,text,text_cut
4785830155784770,"【纾困解难 增强信心 我市为小微企业个体户减免房租助力发展】小微企业和个体工商户是国民经济重要组成部分，近期受疫情冲击等不利因素影响，不少小微企业和个体工商户出现经营困难，为落实国家及省、市稳住经济大盘部署，市财政局发出《关于市级行政事业单位和市属所办企业向小微企业和个体工商户减免房租的通知》（以下简称《通知》），助力小微企业和个体工商户纾困解难，增强发展信心。

户外烈日炎炎，室内凉爽宜人。位于莆仙大剧院的文教书城“书咖”，男女老少读者佩戴口罩、隔位就座，在清凉的空调房内畅游书海。“减租政策真是‘及时雨’。”荔城区文教图书有限公司总经理陈志亮介绍，这家书店是市属国有资产类经营性房产，之前，政府部门已大力扶持他们这样的公共文化实体店，以远低于同地段商业租户的租金给予帮扶，但该书店面积达2600余平方米，每年租金130余万元，由于疫情影响，书店客流量减少，营业额下降，经营压力增大。得益于我市为小微企业和个体工商户减免房租的政策，该书店享受减免4.5个月房租，累计减免了近50万元租金，补充了公司流动资金不足，一解企业燃眉之急。

受教育“双减”政策影响，去年以来，广大教培机构面临转型的巨大挑战，加之疫情影响，部分教培机构面临发展困境。福建省卓英教育咨询有限公司人事主管林淑娟说，去年以来，企业生源减少，房租、人员工资等开支着实负担越来越重，好在政府出台减免房租政策，该公司减免了4.5个月、30.8万元房租，有助于企业尽快走出困境，增强转型发展的信心。

根据《通知》，我市对2022年属地被列为疫情中高风险地区的制造业小微企业、服务业小微企业、民办学校和个体工商户承租的国有资产类经营性房产，2022年免除3至8月份的6个月房租，其他地区除了3至5月份3个月的房租全免外，再减半收取6至8月份的房租，已缴交房租的可顺延减免。2022年实际租期小于应免除租期的，按实际租期予以免除。

市财政局行政事业单位资产管理科科长吴锦楚表示，该局及时督促各类产权单位严格落实阶段性减租政策，确保租金减免工作高效有序开展。目前，全市各级行政事业单位及其所属企业，已为206家承租户减免房租1500余万元，其中市本级减免房租663万元。
（记者 刘永福） 收起d",解难 增强 信心 我市 为小微 企业 个体户 减免 房租 助力 发展 小微 企业 个体 工商户 国民经济 组成部分 近期 疫情 冲击 不利因素 影响 小微 企业 个体 工商户 经营 困难 落实 国家 省市 稳住 经济 大盘 部署 财政局 发出 市级 行政 事业单位 市属 企业 向小微 企业 个体 工商户 减免 房租 通知 简称 通知 助力 小微 企业 个体 工商户 解难 增强 发展 信心 户外 烈日炎炎 室内 凉爽 宜人 位于 莆仙大 剧院 文教 书城 男女老少 读者 佩戴 口罩 隔位 就座 清凉 空调 畅游 书海 减租 政策 及时雨 荔城区 文教 图书 有限公司 总经理 陈志亮 介绍 这家 书店 市属 国有资产 经营性 房产 政府部门 扶持 公共 文化 实体店 以远 低于 地段 商业 租户 租金 给予 帮扶 书店 面积 余平方米 租金 余万元 疫情 影响 书店 客流量 减少 营业额 下降 经营 压力 增大 得益于 我市 为小微 企业 个体 工商户 减免 房租 政策 书店 享受 减免 房租 累计 减免 万元 租金 补充 公司 流动资金 一解 企业 燃眉之急 教育 双减 政策 影响 去年 教培 机构 面临 转型 挑战 疫情 影响 教培 机构 面临 发展 困境 福建省 卓英 教育 咨询 有限公司 人事主管 林淑娟 去年 企业 生源 减少 房租 人员 工资 开支 着实 负担 越来越重 政府 出台 减免 房租 政策 公司 减免 万元 房租 有助于 企业 走出 困境 增强 转型 发展 信心 通知 我市 属地 列为 疫情 高风险 地区 制造业 小微 企业 服务业 小微 企业 民办学校 个体 工商户 承租 国有资产 经营性 房产 免除 月份 房租 地区 月份 房租 全免 减半 收取 月份 房租 缴交 房租 顺延 减免 租期 小于 免除 租期 租期 予以 免除 财政局 行政 事业单位 资产 管理 科科长 吴锦楚 该局 督促 各类 产权 单位 落实 阶段性 减租 政策 确保 租金 减免 工作 高效 有序 全市 行政 事业单位 所属 企业 已为 承租 减免 房租 余万元 本级 减免 房租 万元 记者 刘永福
4785826158611564,"邯郸市教育局

关于中小学校放暑假的通知

各县(市、区)教体局、市直中小学校、中等职业学校、幼儿园:

现将我市2022年中小学放暑假工作有关事宜通知如下:

一、放假时间

全市普通中小学校和中等职业学校放暑假时间为7月11日(普通高中放假时间可延长至7月18日)，开学时间均为9月1日。各幼儿园参照普通中小学校和中等职业学校放假时间执行。

二、有关要求

(一)精心做好学期结束工作。各县(市、区)教体局和学校要结合教育“十四五”规划和建设区域教育中心的目标任务，围绕市教育局全年“12881”工作思路，突出“五育”并举，强化教育公平，科学、系统的总结本学期教育教学工作，提前制定新学期工作计划，精心谋划事业发展，深入推进教育教学改革。

(二)认真做好学校安全和疫情防控工作。围绕预防溺水、生命健康安全、交通安全等加强安全教育，落实校园安全责任制，开展安全隐患排查，实行假期24小时人员值守和带班制度。按照常态化疫情防控工作要求，提高师生自我防护意识。坚持“非必要不外出”，做到不聚集、不扎堆，强化日常健康监测。

(三)合理安排学生暑假生活。严格落实中小学生作业、睡眠、手机、读物、体质健康等“五项管理”工作要求，教育和指导学生合理安排作息时间，正确理性使用手机、电脑、平板等电子产品，防止学生沉迷网络。引导学生自觉加强体育锻炼，增强自身体质。鼓励学生开展社会实践活动，丰富假期生活。

(四)切实规范办学行为。严格落实“双减”政策，不得组织学生集体补课或上新课。公办学校不得将校园、校舍出租出供给校外培训机构，严禁在职教师进行有偿补课。有条件的中小学校可探索开展暑假学生托管服务。对校外培训机构开展片区化、网格化、常态化督查，保持假期内对地下违规校外培训机构和变相违规培训机构高压治理态势，坚决防止违规开展中小学生学科类培训。

(五)加强家校联系。指导家长做好家庭教育，切实履行监护责任和义务，在落实疫情防控要求前提下，配合做好学生的心理健康教育、体育锻炼、近视防控等，保障孩子每天充足的睡眠时间和养成良好的习惯，促进学生全面健康发展。

邯郸市教育局办公室

2022年6月25日 收起d",邯郸市 教育局 中小学校 放暑假 通知 县市区 教体局 市直 中小学校 中等职业 学校 幼儿园 现将 我市 中小学 放暑假 工作 事宜 通知 放假 时间 全市 中小学校 中等职业 学校 放暑假 时间 普通高中 放假 时间 可延长 开学 时间 幼儿园 参照 中小学校 中等职业 学校 放假 时间 执行 精心 做好 学期结束 工作 县市区 教体局 学校 教育 十四五 规划 区域 教育 中心 目标 围绕 教育局 工作思路 五育 并举 强化 教育 公平 科学 系统 本学期 教育 教学 工作 提前 制定 新学期 工作 计划 精心 谋划 事业 发展 教育 教学改革 做好 学校 疫情 防控 工作 围绕 预防 溺水 生命 健康 交通安全 教育 落实 校园 责任制 安全隐患 排查 实行 假期 小时 人员 值守 带班 制度 常态 疫情 防控 工作 提高 师生 自我 防护 意识 非必要 外出 聚集 扎堆 强化 日常 健康 监测 合理安排 学生 暑假 生活 落实 中小学生 作业 睡眠 手机 读物 体质 健康 五项 管理工作 教育 指导 学生 合理安排 作息时间 正确 理性 手机 电脑 平板 电子产品 学生 沉迷 网络 引导 学生 自觉 体育锻炼 增强 体质 鼓励 学生 社会 实践 活动 假期 生活 切实 规范 办学 落实 双减 政策 组织 学生 集体 补课 新课 公办 学校 校园 校舍 出租 供给 校外 培训 机构 严禁 在职 教师 有偿 补课 条件 中小学校 探索 暑假 学生 托管 服务 校外 培训 机构 片区 网格化 常态 督查 假期 地下 违规 校外 培训 机构 变相 违规 培训 机构 高压 治理 态势 违规 中小学生 学科 培训 家校 指导 家长 做好 家庭教育 切实 履行 监护 责任 义务 落实 疫情 防控 前提 配合 做好 学生 心理健康 教育 体育锻炼 近视 防控 保障 孩子 充足 睡眠 时间 养成 习惯 学生 健康 发展 邯郸市 教育局 办公室 年月日
4785825751241103,"为“双减”赋能！曹妃甸临港实验学校一二年级期末乐考游园活动
曹妃甸区教育体育局 2022-06-29 20:28 发表于河北
6月28日，曹妃甸临港商务区实验学校组织一、二年级学生开展了本学期的游园乐考活动，旨在进一步减轻学生的课业负担，促进“双减”政策落实落地。

本次游园乐考，把各学科主要内容设计成闯关游戏，采用游园集“星”闯关的形式，让学生在轻松有趣的氛围中，灵活展现自己所学得的知识与技能。

乐考前，老师们沿袭上学期期末乐考的成功做法，每一个环节都做到全面而精细。在项目内容的安排上，更是用心对待，不仅体现了趣味性、开放性，而且兼顾评价的全面性、知识性。

乐考开始，孩子们欢呼雀跃，手持自制评星卡，兴高采烈地进行一道道游园大闯关。
一、智趣语文

“智闯记忆关”考查学生对基础知识的掌握。从本学期课本中随机抽取词语、段落或古诗，进行认读与背诵。
小小语言家
“小小语言家”考查学生朗读水平。从本学期课文课本中抽取若干片段(包括全文)，学生用抽签的方式确定朗读内容，并流利、有感情的朗读。 语文乐考在“智闯记忆关”、“小小语言家”等趣味闯关游戏中检测了学生的背诵、词语积累和表达等语文综合能力。

二、智慧数学
“计算小高手”考察学生速算能力。让学生在1分钟之内完成口算，在紧张的倒计时下，孩子们快速完成。

小小数学家
“小小数学家”考察学生分析解决问题的能力。针对本学期学习的长度单位，角的初步认识，认识时间等单元，精心设计了看一看、认一认等关卡。

三、快乐英语
火眼金睛
在“火眼金睛”和“脱口而出”环节，同学们都能流利地说出卡片上对应的单词和句子，做到快速、正确、标准。

四、生活小能手
“双减”政策实施后，学校更加注重学生生活能力和学习习惯的培养。在本次期末的乐考中，学校特别加入书包和书桌整理、系鞋带等自理能力的检测。
本次游园乐考围绕新课改，以“乐考”促“研教”，以“乐考”促“融学”，关注孩子们的学习过程与样态，全方位多维度地评价每一位学生的综合素养，真正促进素质教育在曹妃甸临港实验学校落地生根、开花结果。 收起d",双减 赋能 曹妃甸 临港 实验学校 二年级 期末 乐考 游园活动 曹妃甸 教育 体育局 发表 河北 曹妃甸 临港 商务区 实验学校 组织 二年级 学生 本学期 游园 乐考 活动 旨在 进一步 减轻 学生 课业负担 双减 政策 落实 落地 本次 游园 乐考 各学科 内容 设计 闯关 游戏 采用 游园 集星 闯关 形式 学生 轻松 有趣 氛围 灵活 展现 所学 知识 技能 考前 老师 沿袭 学期 期末 乐考 成功 做法 环节 精细 项目 内容 安排 更是 用心 体现 趣味性 开放性 兼顾 评价 全面性 知识性 乐考 孩子 欢呼雀跃 手持 自制 评星卡 兴高采烈 一道道 游园 闯关 一智趣 语文 记忆 考查 学生 基础知识 本学期 课本 随机 抽取 词语 段落 古诗 认读 背诵 小小 语言 小小 语言 考查 学生 朗读 水平 本学期 课文 课本 抽取 若干 片段 包括 全文 学生 抽签 方式 朗读 内容 流利 感情 朗读 语文 乐考 记忆 小小 语言 趣味 闯关 游戏 检测 学生 背诵 词语 积累 表达 语文 综合 能力 智慧 数学计算 高手 考察 学生 速算 能力 学生 分钟 之内 口算 紧张 倒计时 孩子 快速 小小 数学家 小小 数学家 考察 学生 分析 解决问题 能力 本学期 学习 长度 单位 初步 时间 单元 精心设计 看一看 认一认 关卡 快乐 英语 火眼金睛 火眼金睛 脱口而出 环节 同学 流利地 说出 卡片 单词 句子 快速 正确 标准 生活 能手 双减 政策 实施 学校 注重 学生 生活 能力 学习 习惯 培养 本次 期末 乐考 学校 特别 书包 书桌 整理 系鞋带 自理能力 检测 本次 游园 乐考 围绕 新课改 以乐 考促 研教 以乐考 促融学 关注 孩子 学习 过程 样态 全方位 多维度 评价 一位 学生 综合 素养 素质教育 曹妃甸 临港 实验学校 落地生根 开花结果
4785823197172739,"#许昌市中小学精彩展示##壮丽河山说# @许昌市教育局 为贯彻落实教育部办公厅印发的“五项管理”规定,促进“双减”政策扎实有效落地，进一步深入了解教师的作业布置及学生作业负担情况，近日，建安区魏风路小学注重过程监督，围绕“双减”工作相关问题开展学生问卷调查活动，广泛搜集学生的反馈意见。",许昌市 中小学 精彩 展示 壮丽 河山 许昌市 教育局 贯彻落实 教育部 办公厅 印发 五项 管理 双减 政策 扎实 落地 进一步 教师 作业 布置 学生 作业负担 情况 近日 建安 魏风路 小学 注重 过程 监督 围绕 双减 工作 相关 学生 问卷调查 活动 搜集 学生 反馈 意见
4785819564381563,"邯郸市育华中学【#邯郸中小学暑假时间公布# →】邯郸市教育局关于中小学校放暑假的通知↓↓↓
各县(市、区)教体局、市直中小学校、中等职业学校、幼儿园:
现将我市2022年中小学放暑假工作有关事宜通知如下:
一、放假时间
全市普通中小学校和中等职业学校放暑假时间为7月11日(普通高中放假时间可延长至7月18日)，开学时间均为9月1日。各幼儿园参照普通中小学校和中等职业学校放假时间执行。
二、有关要求
(一)精心做好学期结束工作。各县(市、区)教体局和学校要结合教育“十四五”规划和建设区域教育中心的目标任务，围绕市教育局全年“12881”工作思路，突出“五育”并举，强化教育公平，科学、系统的总结本学期教育教学工作，提前制定新学期工作计划，精心谋划事业发展，深入推进教育教学改革。
(二)认真做好学校安全和疫情防控工作。围绕预防溺水、生命健康安全、交通安全等加强安全教育，落实校园安全责任制，开展安全隐患排查，实行假期24小时人员值守和带班制度。按照常态化疫情防控工作要求，提高师生自我防护意识。坚持“非必要不外出”，做到不聚集、不扎堆，强化日常健康监测。
(三)合理安排学生暑假生活。严格落实中小学生作业、睡眠、手机、读物、体质健康等“五项管理”工作要求，教育和指导学生合理安排作息时间，正确理性使用手机、电脑、平板等电子产品，防止学生沉迷网络。引导学生自觉加强体育锻炼，增强自身体质。鼓励学生开展社会实践活动，丰富假期生活。
(四)切实规范办学行为。严格落实“双减”政策，不得组织学生集体补课或上新课。公办学校不得将校园、校舍出租出供给校外培训机构，严禁在职教师进行有偿补课。有条件的中小学校可探索开展暑假学生托管服务。对校外培训机构开展片区化、网格化、常态化督查，保持假期内对地下违规校外培训机构和变相违规培训机构高压治理态势，坚决防止违规开展中小学生学科类培训。
(五)加强家校联系。指导家长做好家庭教育，切实履行监护责任和义务，在落实疫情防控要求前提下，配合做好学生的心理健康教育、体育锻炼、近视防控等，保障孩子每天充足的睡眠时间和养成良好的习惯，促进学生全面健康发展。

邯郸市教育局办公室
2022年6月25日 收起d",邯郸市 育华 中学 邯郸 中小学 暑假 时间 公布 邯郸市 教育局 中小学校 放暑假 通知 县市区 教体局 市直 中小学校 中等职业 学校 幼儿园 现将 我市 中小学 放暑假 工作 事宜 通知 放假 时间 全市 中小学校 中等职业 学校 放暑假 时间 普通高中 放假 时间 可延长 开学 时间 幼儿园 参照 中小学校 中等职业 学校 放假 时间 执行 精心 做好 学期结束 工作 县市区 教体局 学校 教育 十四五 规划 区域 教育 中心 目标 围绕 教育局 工作思路 五育 并举 强化 教育 公平 科学 系统 本学期 教育 教学 工作 提前 制定 新学期 工作 计划 精心 谋划 事业 发展 教育 教学改革 做好 学校 疫情 防控 工作 围绕 预防 溺水 生命 健康 交通安全 教育 落实 校园 责任制 安全隐患 排查 实行 假期 小时 人员 值守 带班 制度 常态 疫情 防控 工作 提高 师生 自我 防护 意识 非必要 外出 聚集 扎堆 强化 日常 健康 监测 合理安排 学生 暑假 生活 落实 中小学生 作业 睡眠 手机 读物 体质 健康 五项 管理工作 教育 指导 学生 合理安排 作息时间 正确 理性 手机 电脑 平板 电子产品 学生 沉迷 网络 引导 学生 自觉 体育锻炼 增强 体质 鼓励 学生 社会 实践 活动 假期 生活 切实 规范 办学 落实 双减 政策 组织 学生 集体 补课 新课 公办 学校 校园 校舍 出租 供给 校外 培训 机构 严禁 在职 教师 有偿 补课 条件 中小学校 探索 暑假 学生 托管 服务 校外 培训 机构 片区 网格化 常态 督查 假期 地下 违规 校外 培训 机构 变相 违规 培训 机构 高压 治理 态势 违规 中小学生 学科 培训 家校 指导 家长 做好 家庭教育 切实 履行 监护 责任 义务 落实 疫情 防控 前提 配合 做好 学生 心理健康 教育 体育锻炼 近视 防控 保障 孩子 充足 睡眠 时间 养成 习惯 学生 健康 发展 邯郸市 教育局 办公室 年月日
4785818721327304,O青岛暑期托管缓解“看护难” 四个时间段自由选择 过好全面推进“双减”政策后的第一个暑假，缓解假期孩子“看护难”的问题，青岛将面向义务教育阶段非毕业年级的学生提供暑期托管服务。,青岛 暑期 托管 缓解 看护 四个 时间段 自由选择 过好 双减 政策 第一个 暑假 缓解 假期 孩子 看护 青岛 面向 义务教育 阶段 毕业 年级 学生 提供 暑期 托管 服务
4785812408895703,"江西赣州章贡区：坚持“五育”融合 促进学生全面发展
央视网消息（记者 熊赳赳）每个孩子根据不同的主题，创造个性化美术作品，并对作品创作过程进行讲解......6月27日，在江西省赣州市章贡区章江路小学的美术期末素质测评现场，老师通过考察孩子的艺术创作和语言表达能力进行综合评价。

与往年不同的是，今年该校在体艺评测中，一改以往各学科“单打独斗”的形式，进一步强化了学科间的融合，积极探索并采用多学科线状并进模式，变“模块式过关”为“主题式乐考”，给学生们带来了全新的体验。

操场上，“五育融合”闯关测评一片欢腾，整个操场成了各学科大融合的海洋，在红色教育的主情境下，语文、数学、体育、美术等学科实现互融互通。

在“双减”背景下，主题探究活动是促进学生“德智体美劳”全面综合发展的一门必修课程。为此，章江路小学积极响应要求，一二年级不再进行统一考试，把过去单纯依靠一张卷子和分数来决定期末考试成绩的方式，变为集书写、朗读、操作、展示等内容在内，以积分、集章卡、闯关等多种孩子们喜闻乐见的形式进行的综合评价。

“我们将五育融合教学实践融入学生的日常生活，把合作精神、学科素养、关键能力、必备知识等内容有效贯穿，在评价的内容、形式、时间、环境、人员上实现多元化。”章江路小学校长罗蔚表示，这样的考核从“解题”走向“解决问题”，从“做题”走向“做人做事”，长期坚持下去，孩子们必定受益匪浅。

章江路小学的教育成果展现，正是赣州市章贡区教育改革的一个缩影。近年来，章贡区深入落实“双减”政策，深化新时代教育评级改革总体方案精神，积极践行新课标理念，推动学校教育课程变革，完善学生学业评价体系，促进学生“德智体美劳”五育全面发展。
O江西赣州章贡区：坚持“五育”融合 促进学生全面发展 收起d",江西 赣州 章贡区 五育 融合 学生 发展 央视网 消息 记者 赳赳 孩子 主题 创造 个性化 美术作品 作品 创作 过程 讲解 江西省 赣州市 章贡区 章江路 小学 美术 期末 素质 测评 现场 老师 通过考察 孩子 艺术创作 语言表达 能力 综合 评价 往年 该校 体艺 评测 中一改 以往 各学科 单打独斗 形式 进一步 强化 学科 融合 积极探索 采用 学科 线状 并进 模式 模块 过关 主题 乐考 学生 带来 全新 体验 操场上 五育 融合 闯关 测评 欢腾 操场 各学科 融合 海洋 红色 教育 情境 语文 数学 体育 美术 学科 互融 互通 双减 背景 主题 探究 活动 学生 德智体美 综合 发展 一门 必修课程 章江路 小学 积极响应 二年级 统一 考试 一张 卷子 分数 期末考试 成绩 方式 变为 书写 朗读 操作 展示 内容 在内 积分 集章 闯关 多种 孩子 喜闻乐见 形式 综合 评价 五育 融合 教学 实践 融入 学生 日常生活 合作 精神 学科 素养 关键 能力 必备 知识 内容 贯穿 评价 内容 形式 时间 环境 人员 多元化 章江路 小学校长 罗蔚 考核 解题 走向 解决问题 做题 走向 做人 做事 长期 坚持下去 孩子 受益匪浅 章江路 小学 教育 成果 展现 赣州市 章贡区 教育 改革 缩影 章贡区 落实 双减 政策 深化 时代 教育 评级 改革 总体方案 精神 践行 新课标 理念 学校 教育 课程 变革 完善 学生 学业 评价 体系 学生 德智体美 劳五育 发展 江西 赣州 章贡区 五育 融合 学生 发展
4785811025038022,"赣南苏区振兴十周年｜“城乡一体”走好教育“新路子”
央广网赣州6月29日消息（记者盛杨泳）赣南苏区振兴发展十年之际，记者从江西省赣州市章贡区了解到，当地认真贯彻党的教育方针，坚持教育优先发展、统筹发展、均衡发展、公平发展，教育改革发展取得显著成绩，全区教育呈现“城乡一体、服务均等、内外兼修、特色发展”的良好局面。先后通过“全国县域义务教育发展基本均衡县（区）”和“全国中小学校责任督学挂牌督导创新县（区）”认定。自2017年以来，高质量发展综合绩效考核评价“教育发展”考评位列该省前列。

章江路小学学生素质评价改革交流与培训现场会（央广网发 章江路小学供图）

全区教育总投入达64.89亿，其中校建资金投入约16.88亿元，完成新改扩建学校61所，新增校舍50.39万平方米，新增学（席）位4.68万个，新增公办学位3529个，新增普惠性民办园学位4953个，从优化教师资源配置着手，补充教师2918名，开展“区管校聘”试点工作，办学品质大幅提升，目前，优质教育资源的吸引力日益增强，全区现有中小学生8.57万人，较2012年增加了3.1万余人。

在章江路小学，记者了解到，该校积极践行教学改革，落实“双减”政策，通过增资源、强服务，推行“1+N+T”课后托管模式，让孩子快乐学习，通过优课程、重实践，开发《快乐阅读》《趣味数学》《我爱宋城赣州》《场馆课程》等校本课程，让师生家长在实践中成长，通过改评价、促融合，制定《赣州市章江路小学“五育融合”综合评价体系》，落实全面发展目标。

章江路小学学生课堂学习（央广网发 章江路小学供图）

“今天，我参加了冲破封锁线、情报搜集、采购物资等活动。我非常喜欢这些活动，因为我不仅计算出了采购的钱数，在运送中还锻炼了身体。”章江路小学一年级学生刘乐萌说，这真是快乐的一天。
O赣南苏区振兴十周年｜“城乡一体”走好教育“新路子” 收起d",赣南 苏区 振兴 十周年 城乡 一体 教育 新路子 央广网 赣州 消息 记者 盛杨泳 赣南 苏区 振兴 发展 十年 之际 记者 江西省 赣州市 章贡区 认真贯彻 教育方针 教育 优先发展 统筹 发展 均衡 发展 公平 发展 教育 改革 发展 显著成绩 全区 教育 呈现 城乡 一体 服务 均等 内外 兼修 特色 发展 局面 全国 县域 义务教育 发展 均衡 县区 全国 中小学校 责任 督学 挂牌 督导 创新 县区 认定 自年 高质量 发展 综合 绩效考核 评价 教育 发展 考评 位列 该省 前列 章江路 小学 学生 素质 评价 改革 交流 培训 现场会 央广网 发章 江路 小学 供图 全区 教育 投入 校建 资金投入 亿元 改扩建 学校 新增 校舍 万平方米 新增 席位 万个 新增 公办 学位 新增 普惠性 民办 学位 优化 教师 资源配置 着手 补充 教师 区管 校聘 试点工作 办学 品质 大幅 提升 优质 教育资源 吸引力 增强 全区 现有 中小学生 万人 增加 万余 章江路 小学 记者 该校 践行 教学改革 落实 双减 政策 资源 服务 推行 课后 托管 模式 孩子 快乐 学习 课程 实践 开发 快乐 阅读 趣味 数学 宋城 赣州 场馆 课程 校本 课程 师生 家长 在实践中 成长 评价 融合 制定 赣州市 章江路 小学 五育 融合 综合 评价 体系 落实 发展 目标 章江路 小学 学生 课堂 学习 央广网 发章 江路 小学 供图 参加 冲破 封锁线 情报搜集 采购 物资 活动 喜欢 活动 计算 采购 钱数 运送 锻炼 身体 章江路 小学 一年级 学生 刘乐萌 快乐 赣南 苏区 振兴 十周年 城乡 一体 教育 新路子
4785810103338277,#破事精英太敢拍了# 今天看了胡经理持续加班，就是为了母亲和女儿，突然体会到人到中年的无奈。谁会真正喜欢加班呢，可是面对房贷车贷，上有老下有小，又该何去何从呢？996真的能从根本上杜绝吗？虽然我还没有结婚，才26岁，可是一名师范生考招教已经三年了，特别是双减政策落地之后，竞争压力更大了。古语说三十而立，马上就30了，既未立业，也未成家。相比父母那一辈，毕业之后就能分配工作。我不禁感慨：生不逢时。市场经济相比计划经济，看似增加了选择权，但竞争压力似乎更大了。中国人好像在内耗，宇宙的尽头是考研，是考公，还是考编？为什么不能增加岗位，增加编制或者说取消编制，改为灵活就业和考核呢？ 收起d,破事 精英 太敢 经理 持续 加班 母亲 女儿 体会 人到中年 无奈 喜欢 加班 面对 房贷 车贷 上有老下有小 何去何从 真的 从根本上 杜绝 结婚 一名 师范生 考招教 三年 特别 双减 政策 落地 竞争 压力 更大 古语 三十而立 立业 成家 相比 父母 一辈 毕业 分配 工作 不禁 感慨 生不逢时 市场经济 相比 计划经济 看似 增加 选择权 竞争 压力 更大 中国 好像 内耗 宇宙 尽头 考研 考公 考编 增加 岗位 增加 编制 或者说 取消 编制 改为 灵活 就业 考核
4785809892577751,“双减”可以暑假上文化课？#双减政策#,双减 暑假 文化课 双减 政策
